subjectR,conditionR,stimStyle,frequency,channelR,runR,fftValue
S1,hybrid-12Hz,hybrid,12,AF3,8,0.579346062459118
S1,hybrid-12Hz,hybrid,12,AF3,9,0.357849588857043
S1,hybrid-12Hz,hybrid,12,AF3,10,1.03941754170075
S1,hybrid-12Hz,hybrid,12,AF3,11,0.384406553925016
S1,hybrid-12Hz,hybrid,12,AF3,12,0.903620852451255
S1,hybrid-12Hz,hybrid,12,AF3,13,0.302276013313727
S1,hybrid-12Hz,hybrid,12,AF3,14,0.871916974192871
S1,hybrid-12Hz,hybrid,12,AF3,15,0.869938952212726
S1,hybrid-12Hz,hybrid,12,AF3,16,0.761742050573361
S1,hybrid-12Hz,hybrid,12,AF3,17,0.369798623221306
S1,hybrid-12Hz,hybrid,12,AF3,18,1.08206217314581
S1,hybrid-12Hz,hybrid,12,AF3,19,0.438788609695489
S1,hybrid-12Hz,hybrid,12,AF3,20,0.589822022362299
S1,hybrid-12Hz,hybrid,12,AF3,21,0.685744287762601
S1,hybrid-12Hz,hybrid,12,AF3,22,0.364627952101225
S1,hybrid-12Hz,hybrid,12,AF3,23,1.03082172568488
S1,hybrid-12Hz,hybrid,12,AF3,24,0.36804699342304
S1,hybrid-12Hz,hybrid,12,AF3,25,0.679401975231074
S1,hybrid-12Hz,hybrid,12,AF3,26,1.27216255641885
S1,hybrid-12Hz,hybrid,12,AF3,27,0.292633909000533
S1,hybrid-12Hz,hybrid,12,AF3,28,0.612458720210207
S1,hybrid-12Hz,hybrid,12,AF3,29,0.823028196998789
S1,hybrid-12Hz,hybrid,12,AF3,30,1.0965645601997
S1,hybrid-12Hz,hybrid,12,AF3,31,0.205348951857965
S1,hybrid-12Hz,hybrid,12,AF3,32,0.107721420592168
S1,hybrid-12Hz,hybrid,12,AF3,33,0.706341757428754
S1,hybrid-12Hz,hybrid,12,AF3,34,0.704294867261717
S1,hybrid-12Hz,hybrid,12,AF3,35,0.979233022175842
S1,hybrid-12Hz,hybrid,12,AF3,36,0.361186859978233
S1,hybrid-12Hz,hybrid,12,AF4,1,0.958765943366247
S1,hybrid-12Hz,hybrid,12,AF4,2,0.485763610968365
S1,hybrid-12Hz,hybrid,12,AF4,3,0.965426271362903
S1,hybrid-12Hz,hybrid,12,AF4,4,0.53286118864453
S1,hybrid-12Hz,hybrid,12,AF4,5,0.79777740696204
S1,hybrid-12Hz,hybrid,12,AF4,6,0.118066446056903
S1,hybrid-12Hz,hybrid,12,AF4,7,0.766284905725991
S1,hybrid-12Hz,hybrid,12,AF4,8,0.393702922917132
S1,hybrid-12Hz,hybrid,12,AF4,9,0.258019748260669
S1,hybrid-12Hz,hybrid,12,AF4,10,1.08316818240776
S1,hybrid-12Hz,hybrid,12,AF4,11,0.450759011810399
S1,hybrid-12Hz,hybrid,12,AF4,12,1.04318780978612
S1,hybrid-12Hz,hybrid,12,AF4,13,0.2835395537897
S1,hybrid-12Hz,hybrid,12,AF4,14,0.974713858552243
S1,hybrid-12Hz,hybrid,12,AF4,15,0.679901450252021
S1,hybrid-12Hz,hybrid,12,AF4,16,0.749726728327312
S1,hybrid-12Hz,hybrid,12,AF4,17,0.318960550801577
S1,hybrid-12Hz,hybrid,12,AF4,18,1.19294898366156
S1,hybrid-12Hz,hybrid,12,AF4,19,0.427875286958751
S1,hybrid-12Hz,hybrid,12,AF4,20,0.512005313606317
S1,hybrid-12Hz,hybrid,12,AF4,21,0.630191773583783
S1,hybrid-12Hz,hybrid,12,AF4,22,0.375937785743976
S1,hybrid-12Hz,hybrid,12,AF4,23,1.14460144604225
S1,hybrid-12Hz,hybrid,12,AF4,24,0.338786023261531
S1,hybrid-12Hz,hybrid,12,AF4,25,0.549220352835646
S1,hybrid-12Hz,hybrid,12,AF4,26,1.3009518999014
S1,hybrid-12Hz,hybrid,12,AF4,27,0.208795821053743
S1,hybrid-12Hz,hybrid,12,AF4,28,0.5316723049247
S1,hybrid-12Hz,hybrid,12,AF4,29,0.720810281014579
S1,hybrid-12Hz,hybrid,12,AF4,30,1.14338046339171
S1,hybrid-12Hz,hybrid,12,AF4,31,0.231323401260232
S1,hybrid-12Hz,hybrid,12,AF4,32,0.118627578969945
S1,hybrid-12Hz,hybrid,12,AF4,33,0.622294838053746
S1,hybrid-12Hz,hybrid,12,AF4,34,0.710992561758862
S1,hybrid-12Hz,hybrid,12,AF4,35,0.937084340010406
S1,hybrid-12Hz,hybrid,12,AF4,36,0.368717549042627
S1,hybrid-12Hz,hybrid,12,F7,1,0.856620533884816
S1,hybrid-12Hz,hybrid,12,F7,2,0.403038847706762
S1,hybrid-12Hz,hybrid,12,F7,3,0.714766054104104
S1,hybrid-12Hz,hybrid,12,F7,4,0.328163579041003
S1,hybrid-12Hz,hybrid,12,F7,5,0.599845680941014
S1,hybrid-12Hz,hybrid,12,F7,6,0.172092533066694
S1,hybrid-12Hz,hybrid,12,F7,7,0.431161297140863
S1,hybrid-12Hz,hybrid,12,F7,8,0.460422836143462
S1,hybrid-12Hz,hybrid,12,F7,9,0.334881621304996
S1,hybrid-12Hz,hybrid,12,F7,10,0.581119530092112
S1,hybrid-12Hz,hybrid,12,F7,11,0.375467205846629
S1,hybrid-12Hz,hybrid,12,F7,12,0.326827681414099
S1,hybrid-12Hz,hybrid,12,F7,13,0.370991657469218
S1,hybrid-12Hz,hybrid,12,F7,14,0.450029915131815
S1,hybrid-12Hz,hybrid,12,F7,15,0.630493512628725
S1,hybrid-12Hz,hybrid,12,F7,16,0.41367005253075
S1,hybrid-12Hz,hybrid,12,F7,17,0.360776296339659
S1,hybrid-12Hz,hybrid,12,F7,18,0.664384606063948
S1,hybrid-12Hz,hybrid,12,F7,19,0.244434576981878
S1,hybrid-12Hz,hybrid,12,F7,20,0.409967061242565
S1,hybrid-12Hz,hybrid,12,F7,21,0.586661026431251
S1,hybrid-12Hz,hybrid,12,F7,22,0.121009893126518
S1,hybrid-12Hz,hybrid,12,F7,23,0.667017618085216
S1,hybrid-12Hz,hybrid,12,F7,24,0.249796922482066
S1,hybrid-12Hz,hybrid,12,F7,25,0.488470546193352
S1,hybrid-12Hz,hybrid,12,F7,26,0.833162697770452
S1,hybrid-12Hz,hybrid,12,F7,27,0.34302437488493
S1,hybrid-12Hz,hybrid,12,F7,28,0.836976737712076
S1,hybrid-12Hz,hybrid,12,F7,29,0.76173121344268
S1,hybrid-12Hz,hybrid,12,F7,30,0.828928020282943
S1,hybrid-12Hz,hybrid,12,F7,31,0.192570237172534
S1,hybrid-12Hz,hybrid,12,F7,32,0.260075022279674
S1,hybrid-12Hz,hybrid,12,F7,33,0.376942249729891
S1,hybrid-12Hz,hybrid,12,F7,34,0.652931918936868
S1,hybrid-12Hz,hybrid,12,F7,35,0.616092531467586
S1,hybrid-12Hz,hybrid,12,F7,36,0.132938219671395
S1,hybrid-12Hz,hybrid,12,F3,1,0.990301398547159
S1,hybrid-12Hz,hybrid,12,F3,2,0.59419309989077
S1,hybrid-12Hz,hybrid,12,F3,3,1.14718128414102
S1,hybrid-12Hz,hybrid,12,F3,4,0.438190708379832
S1,hybrid-12Hz,hybrid,12,F3,5,0.786351495032643
S1,hybrid-12Hz,hybrid,12,F3,6,0.137995407504792
S1,hybrid-12Hz,hybrid,12,F3,7,0.803912249597297
S1,hybrid-12Hz,hybrid,12,F3,8,0.6114452226758
S1,hybrid-12Hz,hybrid,12,F3,9,0.415072847017269
S1,hybrid-12Hz,hybrid,12,F3,10,0.91183916445453
S1,hybrid-12Hz,hybrid,12,F3,11,0.433269759676581
S1,hybrid-12Hz,hybrid,12,F3,12,0.843905299946278
S1,hybrid-12Hz,hybrid,12,F3,13,0.487446436740157
S1,hybrid-12Hz,hybrid,12,F3,14,0.840896131616703
S1,hybrid-12Hz,hybrid,12,F3,15,0.910274962102939
S1,hybrid-12Hz,hybrid,12,F3,16,0.781566805783996
S1,hybrid-12Hz,hybrid,12,F3,17,0.469751641812698
S1,hybrid-12Hz,hybrid,12,F3,18,1.10128476377476
S1,hybrid-12Hz,hybrid,12,F3,19,0.425042264852107
S1,hybrid-12Hz,hybrid,12,F3,20,0.689608056497395
S1,hybrid-12Hz,hybrid,12,F3,21,0.624788677960564
S1,hybrid-12Hz,hybrid,12,F3,22,0.486464268092444
S1,hybrid-12Hz,hybrid,12,F3,23,1.1444858755052
S1,hybrid-12Hz,hybrid,12,F3,24,0.427962499574563
S1,hybrid-12Hz,hybrid,12,F3,25,0.689295658029676
S1,hybrid-12Hz,hybrid,12,F3,26,1.18472152250274
S1,hybrid-12Hz,hybrid,12,F3,27,0.349888726430303
S1,hybrid-12Hz,hybrid,12,F3,28,0.60089488991879
S1,hybrid-12Hz,hybrid,12,F3,29,0.878566345550401
S1,hybrid-12Hz,hybrid,12,F3,30,1.05865972496365
S1,hybrid-12Hz,hybrid,12,F3,31,0.230150998996534
S1,hybrid-12Hz,hybrid,12,F3,32,0.0395933994611556
S1,hybrid-12Hz,hybrid,12,F3,33,0.6491840630367
S1,hybrid-12Hz,hybrid,12,F3,34,0.725290387175911
S1,hybrid-12Hz,hybrid,12,F3,35,0.969816573302458
S1,hybrid-12Hz,hybrid,12,F3,36,0.366079499427736
S1,hybrid-12Hz,hybrid,12,Fz,1,0.976309494381856
S1,hybrid-12Hz,hybrid,12,Fz,2,0.671899442254808
S1,hybrid-12Hz,hybrid,12,Fz,3,1.33324415376742
S1,hybrid-12Hz,hybrid,12,Fz,4,0.530771943235298
S1,hybrid-12Hz,hybrid,12,Fz,5,1.05676173486721
